REF;DESCRICAO;SEMANA;TECIDO;COLECAO;FAMILIA;PROGRAMACAO;CORES
02990;MACAQUINHO ORLA;SEMANA;;INVERNO 2022;ORLA;;1
05722;VESTIDO CURTO BLANC;SEMANA 14;TECIDO VERMONT CHINA RW55406-1;INVERNO 2025;BLANC;FC - INV25 SEM 14 - 31/03;2
06298;BLUSA BRULEE;SEMANA 10;PATOU CHINA AT2302;INVERNO 2026;BRULEE;FC - INV26 SEM 10 - 02/03;7
01605;PANTALONA FESTIVAL;SEMANA;;OFF;;;1
04211;PANTALONA LA VIE;SEMANA 45;PARISE EST LA VIE H9868/EA0004;ALTO VERÃO 2024;LA VIE;FC - VER24 SEM46 - 13/11;2
04226;VESTIDO LA VIE DETALHE ASSIMETRICO;SEMANA 45;PARISE EST LA VIE H9868/EA0004;ALTO VERÃO 2024;LA VIE;FC - VER24 SEM46 - 13/11;2
04833;PANTALONA ALFAIATARIA LIVING;SEMANA 42;PATOU CHINA AT2302;VERÃO 2025;LIVING;FC - VER25 SEM 31 - 29/07;20
05727;BLUSA MANGA DOTS FOIL;SEMANA 49;MARROCAINE FOIL;ALTO VERÃO 2025;DOTS FOIL;FC - VER25 SEM 49 - 02/12;6
07049;VESTIDO CROPPED DAZING;SEMANA 47;;ALTO VERÃO 2027;DAZING;;1
00416;PANTALONA HINDU;SEMANA;;VERÃO 2017;;;1
02308;CHEMISE ESSENCIA;SEMANA;;OFF;;;5
03742;VESTIDO LONGO HONNEY;SEMANA 17;EST HONNEY BASE NATHALY;INVERNO 2023;HONNEY;FC - INV23 SEM17 - 24/04;1
06223;REGATA TELA;SEMANA 41;ESTAMPADO LOSANGO PW30701;ALTO VERÃO 2026;TELA;FC - VER26 SEM 41 - 06/10;1
07134;VESTIDO CROPPED CHAIN;SEMANA;;ALTO VERÃO 2027;CHAIN;;1
00487;PANTACOURT MINIMAL;SEMANA;;VERÃO 2017;;;1
04141;MACACAO TULE;SEMANA;;OUTONO/INVERNO 2016;;;0
04536;VESTIDO MINE BOTOES;SEMANA 20;TWEED XADREZ (YW56733-1);INVERNO 2024;MINE;FC - INV24 SEM20 - 13/05 ;1
04696;CROPPED CORSET CHESS;SEMANA 18;XADREZ FIO TINTO (YW61792-1);INVERNO 2024;CHESS;FC - INV24 SEM 18- 29/04;1
04811;CROPPED SUNNY DECOTE V;CANCELADO;ATACAMA POLY SPAN;VERÃO 2025;SUNNY;;3
06854;CALCA SUMMER PARTY;SEMANA 36;CREPE IPANEMA EST SUMMER PARTY;VERÃO 2027;SUMMER PARTY;FC - VER27 SEM 36 - 01/09;1
01408;SHORT SAIA;SEMANA;;OFF;;;3
02389;MACACAO ESFERA;SEMANA;;OFF;ESFERA;;1
03695;PANTALONA BOLSO NERVURAS;SEMANA 09;ATACAMA POLY SPAN;INVERNO 2023;;FC - AV23 SEM03 - 13/03;3
04840;CALCA CENOURA;CANCELADO;ETIQUETA PERSONALIZADA LIZIE;VERÃO 2025;;;3
05599;SHORT LOVELY COM PASSADOR;SEMANA 45;PARISE ESTAMPA LOVELY;ALTO VERÃO 2025;LOVELY;FC - VER25 SEM 45 - 04/11;1
06755;SAIA SATIN SERPENTINE;SEMANA 34;TAG PAPEL COLLECTION;VERÃO 2027;SERPENTINE;;2
02550;PARKA WINDY;SEMANA;;INVERNO 2021;;;4
03279;PANTALONA RESORT;SEMANA;;VERÃO 2023;;;1
04502;SHORT SAIA PEACH RECORTES;SEMANA 28;MARRANT PEACH (AT2376);VERÃO 2025;PEACH;FC - INV24 SEM25 - 12/06;9
05492;VESTIDO CURTO AMARRACAO ESSENCIAL;CANCELADO;TAG PAPEL C/ ILHOES LIZIE;VERÃO 2025;ESSENCIAL;;2
01779;PANTALONA TIE DYE;SEMANA;;VERÃO 2020;;;1
02658;VESTIDO URBAN;SEMANA;;VERÃO 2022;;;3
04195;SHORT SAIA SWEET BOLSO ALFAIATARIA;SEMANA 46;ATACAMA CHINA (AT-1909);ALTO VERÃO 2024;SWEET;;5
04739;CROPPED AMANHECER ALCA BABADOS;CANCELADO;TAG PAPEL C/ ILHOES LIZIE;INVERNO 2024;AMANHECER;;3
05633;BLUSA COM MANGA MAQUINETADO;SEMANA 45;SAFIRA;ALTO VERÃO 2025;MAQUINETADO;FC - VER25 SEM 45 - 04/11;9
06389;TOP RECORTES FLORIAN;SEMANA 16;BORDADO FAM FLORIAN AEW100560-01;INVERNO 2026;FLORIAN;FC - INV26 SEM 16 - 13/04;2
06564;VESTIDO CROPPED BABADO;CANCELADO;;ALTO VERÃO 2026;;;1
05903;VESTIDO CURTO IPANEMA;SEMANA 27;LINHO CHINA (AT2314);VERÃO 2026;IPANEMA;FC - VER26 SEM 27 - 01/07;3
02391;MACAQUINHO ESFERA;SEMANA;;OFF;ESFERA;;1
05653;BLAZER INOX;SEMANA 27;EST INOX YK72664;VERÃO 2026;INOX;FC - VER26 SEM 27 - 01/07;1
06719;VESTIDO CROPPED VITAL;SEMANA 32;TRICOLINE POA VITAL AEW100560;VERÃO 2027;VITAL;FC - VER27 SEM 32 - 03/08;2
00442;BLUSA BEIJA FLOR;SEMANA;;VERÃO 2017;;;1
04001;BLUSA OMBREIRA EST NICE;SEMANA 21;EST NICE BASE NATHALY;INVERNO 2023;NICE;FC - INV23 SEM26 - 26/06;1
04201;CROPPED SWEET DETALHE PONTA;SEMANA 46;ATACAMA CHINA (AT-1909);ALTO VERÃO 2024;SWEET;FC - VER24 SEM45 - 06/11;30
04836;COLETE SONHAR BOTOES;SEMANA 23;TECIDO VERMONT CHINA RW55406-1;VERÃO 2025;SONHAR;FC - VER25 SEM 31 - 29/07;4
05354;BLUSA FIESTA ALCA;SEMANA 46;ESTAMPA FIESTA BROMELIA GLOW 00S328;ALTO VERÃO 2025;FIESTA;FC - VER25 SEM 46 - 04/11;1
00335;REGATA TRAPEZIO;SEMANA;;OFF;;;29
00496;CIGANINHA LISTRAS;SEMANA;;OUTONO/INVERNO 2017;;;1
04011;MACACAO EST BLANCHE;SEMANA 32;ESTAMPA BLANCHE BASE LAS VEGAS;VERÃO 2024;BLANCHE;FC - VER24 SEM32 - 07/08;1
06991;MACACAO ECHO;SEMANA 42;TECIDO VERMONT CHINA RW55406-1;ALTO VERÃO 2027;ECHO;;3
00260;CASACO PONTAS;SEMANA;;OUTONO/INVERNO 2016;;;4
02324;MAX VESTIDO ZEN;SEMANA;;OFF;;;4
02907;CALCA ANCESTRAL;SEMANA;;OFF;ANCESTRAL;;1
07060;MACACAO SINTONIA;SEMANA 45;;ALTO VERÃO 2027;SINTONIA;;1
03169;CROPPED CARCARA;SEMANA;;VERÃO 2023;;;6
06376;CAMISA TEXTURA;SEMANA 05;VISCOSE FLASH AT 2232;INVERNO 2026;TEXTURA;FC - INV26 SEM 05 - 26/01;3
01431;MAXI CARDIGAN;SEMANA;;INVERNO 2019;;;4
02014;REGATA CLEAN;SEMANA;;OFF;;;8
03298;SHORT RIOS;SEMANA;;VERÃO 2023;RIOS;;1
04148;MACACAO OVIEDO;SEMANA;;OUTONO/INVERNO 2016;;;0
05681;SAIA MIDI CHATEAU;SEMANA 13;TRICOLINE MILANO 3547;INVERNO 2025;CHATEAU;FC - INV25 SEM 13 - 24/03;2
00271;CAMISA BOLSO;SEMANA;;OUTONO/INVERNO 2016;;;2
01054;REGATA CAVA AMERICANA;SEMANA;;OFF;;;2
01134;PANTACOURT SOLAR;SEMANA;;VERÃO 2019;;;1
01856;BLUSA COOL;SEMANA;;OFF;;;7
05916;CAMISA PONTAL;CANCELADO;VISCOSE FIO TINTO;VERÃO 2026;PONTAL;;1
00809;MACACAO MIDI;SEMANA;;VERÃO 2018;;;2
00961;BLUSA GARDEN;SEMANA;;INVERNO 2018;;;1
01769;PANTALONA ETNIAS;SEMANA;;VERÃO 2020;;;1
03184;CALCA CAJU;SEMANA;;VERÃO 2023;;;5
03707;SHORT LEOPARDO;SEMANA 09;EST LEOPARDO;INVERNO 2023;LEOPARDO;FC - INV23 SEM09 - 01/03;1
04810;VESTIDO LONGO GLOSS DETALHE ALCA;SEMANA 28;BROMELIA ESTAMPA GLOSS;VERÃO 2025;GLOSS;;1
05349;VESTIDO LONGO ENTREMEIO FLORA;CANCELADO;PATOU NEW (RW82311);VERÃO 2025;FLORA;;4
05447;VESTIDO CURTO CHOICE;CANCELADO;LINHO ESTAMPA CHOICE;VERÃO 2025;CHOICE;;1
01872;SAIA TRANSPASSADA RUSTIC;SEMANA;;OFF;;;4
01941;CROPPED TRICOT TRANSP;SEMANA;;INVERNO 2020;;;5
02999;REGATA URCA;SEMANA;;INVERNO 2022;;;6
04254;BLUSA VIVER DETALHE MANGA;SEMANA 40;VISCOSE SARJADA SINERGY;VERÃO 2024;VIVER;FC - VER24 SEM44 - 30/10;9
04510;BLUSA IRIS MANGA SINO;SEMANA 07;ESTAMPA IRIS;INVERNO 2024;IRIS;FC - AV24 SEM09 - 26/02;1
01851;SHORT NATURALE;SEMANA;;VERÃO 2020;;;1
02640;VESTIDO MD DELICADO;SEMANA;;VERÃO 2022;;;1
05692;REGATA HIBISCO ALCA LARGA;SEMANA 21;MARROCAINE RW80136-1;INVERNO 2025;HIBISCO;FC - INV25 SEM 21 - 19/05;4
00934;MACACAO MIDI FREE LISBOA;SEMANA;;VERÃO 2018;;;1
01521;VESTIDO CURTO GRID;SEMANA;;INVERNO 2019;;;1
06631;BLAZER BOTOES ALLEGRO;SEMANA 21;ALFAIATARIA FAM ALLEGRO BYW850198;INVERNO 2026;ALLEGRO;FC - INV26 SEM 21 - 18/05;1
06701;SAIA CROPPED LUNGO;SEMANA 16;PURO LINHO MYKONOS P11LN0118;INVERNO 2026;LUNGO;FC - INV26 SEM 16 - 13/04;3
01483;MACACAO MIDI FLORAL MUSGO;SEMANA;;INVERNO 2019;;;1
02044;TOP RENDA ART;SEMANA;;OFF;;;2
03288;PARKA RIOS;SEMANA;;VERÃO 2023;RIOS;;1
04222;REGATA FLORESCER DETALHE GOLA;SEMANA 39;PARISE ESTAMPA FLORESCER(H9803 EA0005);VERÃO 2024;FLORESCER;FC - VER23 SEM37 - 11/09;1
05761;VESTIDO MIDI MAYER;SEMANA 27;TRICOLINE MILANO 3547;VERÃO 2026;MAYER;FC - VER26 SEM 27 - 01/07;2
06060;SHORT LAISE ATELIE;SEMANA 42;LAISE VERÃO 26;ALTO VERÃO 2026;ATELIE;FC - AV26 SEM 42 - 13/10;2
06284;VESTIDO CAFFEINE MANGAS;CANCELADO;;INVERNO 2026;CAFFEINE;;1
01033;KIMONO;SEMANA;;INVERNO 2018;;;1
01057;PANTACOURT SAVANA;SEMANA;;INVERNO 2018;;;1
03439;MACACAO DAY;SEMANA 41;;INVERNO 2023;DAY;;2
03451;VESTIDO NIGHT;SEMANA 40;ETIQUETA INTERNA (PP);VERÃO 2023;NIGHT;;1
04479;MINI SAIA ESMERALDA;SEMANA 10;ALFAIATARIA MARRANT EST ESMERALDA AT2080;INVERNO 2024;ESMERALDA;FC - INV24 SEM11 - 11/03;1
00791;BODY SIMPLE;SEMANA;;VERÃO 2018;;;1
00935;MACACAO MIDI FREE AMSTERDA;SEMANA;;VERÃO 2018;;;1
02089;CAMISA CROPPED;SEMANA;;OFF;;;2
05802;VESTIDO CURTO RETO TURMALINA;CANCELADO;;INVERNO 2025;TURMALINA;;3
05876;BLAZER BOTOES CULTURAL;SEMANA 39;ALFAIATARIA SOHO (RW54958);INTERMEDIÁRIA;CULTURAL;FC - VER26 SEM 39 - 22/09;3
06497;CALCA CORSARIO MODERN;CANCELADO;;ALTO VERÃO 2026;MODERN;;1
00262;VESTIDO LISTRAS CHAMPAGNE;SEMANA;;OUTONO/INVERNO 2016;;;1
00692;PANTALONA MAORI;SEMANA;;VERÃO 2018;;;1
00980;VESTIDO MIDI MILITAR;SEMANA;;INVERNO 2018;;;1
04403;VESTIDO LONGO SENTIR BABADOS;SEMANA 07;ESTAMPA SENTIR;INVERNO 2024;SENTIR;FC - VER24 SEM45 - 06/11;1
00441;VESTIDO BEIJA FLOR;SEMANA;;VERÃO 2017;;;1
02173;VESTIDO MIDI BORD VIBE;SEMANA;;OFF;;;3
03231;PARKA TERRA;SEMANA 09;INATIVO;INVERNO 2023;;FC - INV23 SEM10 - 06/02 ;7
03695;PANTALONA BOLSO NERVURAS;SEMANA 09;ATACAMA POLY SPAN;INVERNO 2023;;FC - INV23 SEM11 - 13/03;3
05664;MACACAO RECORTES MAIA;CANCELADO;TAG PAPEL C/ ILHOES LIZIE;ALTO VERÃO 2025;MAIA;;3
06406;VESTIDO CROPPED INTENSE;SEMANA 16;MARROCAINE LISO AT2374PD;INVERNO 2026;INTENSE;FC - INV26 SEM 16 - 13/04;2
01540;CALCA MOVIMENTO;SEMANA;;VERÃO 2020;;;1
02170;VESTIDO CLEAN;SEMANA;;OFF;;;7
02637;SHORT LIVE;SEMANA;;VERÃO 2022;;;1
03142;SAIA MORENA;SEMANA;;INVERNO 2022;;;6
04167;VESTIDO LONGO ASTURIA;SEMANA;;OUTONO/INVERNO 2016;;;0
04457;VESTIDO CURTO IRIS MANGA BUFANTE;SEMANA 07;ESTAMPA IRIS;INVERNO 2024;IRIS;FC - AV24 SEM09 - 26/02;1
05717;BLUSA CANYON;SEMANA 09;MAQUINETADO LISBOA;INVERNO 2025;CANYON;FC - INV25 SEM 09 - 24/02;3
06721;BERMUDA CARGO BEATLINE;SEMANA 28;MARRANT LISTRA FIO TINTO AT-2336;VERÃO 2027;BEATLINE;FC - VER27 SEM 28 - 06/07;1
07061;SHORT SINTONIA;SEMANA 45;;ALTO VERÃO 2027;SINTONIA;;1
00497;REGATA DEBRUM AMORA;SEMANA;;OUTONO/INVERNO 2017;;;1
00505;PANTACOURT BANANEIRA;SEMANA;;OUTONO/INVERNO 2017;;;1
02154;MACACAO GRECIA;SEMANA;;VERÃO 2021;GRECIA;;1
02580;VESTIDO BORD LOVELY;SEMANA;;INVERNO 2021;;;7
03752;CAMISA HONNEY INFANTIL;SEMANA 17;EST HONNEY BASE NATHALY;INVERNO 2023;HONNEY;FC - INV23 SEM17 - 24/04;1
05003;SAIA CURTA TRANSPASSE CHARME;SEMANA 38;BROMELIA ESTAMPA CHARME;VERÃO 2025;CHARME;FC - VER25 SEM 40- 30/09;1
00799;BLUSA SAFIRA;SEMANA;;VERÃO 2018;;;1
01923;PANTALONA MOLDURA;SEMANA;;INVERNO 2020;;;1
02090;CAMISA SOPHISTIC;SEMANA;;VERÃO 2021;;;3
02646;REGATA TEE ALMA;SEMANA;;OFF;;;5
05497;BLUSA DUO CITRINO;CANCELADO;ALFAIATARIA MARRANT NEW (AT2286);INVERNO 2025;CITRINO;;4
05638;SAIA LONGA FRANZIDA BRUMA;SEMANA 45;TRICOLINE 3199;ALTO VERÃO 2025;BRUMA;FC - VER25 SEM 42 - 14/10;4
06242;VESTIDO PONTAL LONGO;SEMANA 35;VISCOSE FIO TINTO;VERÃO 2026;PONTAL;FC - VER26 SEM 36 - 01/09;1
00808;MACACAO MIDI LAZULI;SEMANA;;VERÃO 2018;;;1
00940;CALCA BOY LUNAR;SEMANA;;VERÃO 2018;;;1
02935;CROPPED PEROLA;SEMANA;;VERÃO 2022;;;1
00288;PANTACOURT BOY;SEMANA;;OUTONO/INVERNO 2016;;;1
00616;REGATA BOTOES GEO MINI;SEMANA;;OUTONO/INVERNO 2017;;;1
01180;VESTIDO BABADO;SEMANA;;VERÃO 2019;;;4
02111;REGATA MOLETINHO;SEMANA;;OFF;;;4
02164;MACACAO SOPHISTIC;SEMANA;;VERÃO 2021;;;3
00938;BLUSA GOTA;SEMANA;;OFF;;;1
04348;CAMISA BORDADA MANGA BUFANTE;SEMANA 46;TRICOLINE MILANO 3547;ALTO VERÃO 2024;JARDIM;;6
06685;CAMISA FLOW BALONE;SEMANA 28;VOIL DE ALGODAO C/ FIO LUREX ADS250225;VERÃO 2027;FLOW;FC - VER27 SEM 28 - 06/07;1
06788;PANTALONA DANCE;SEMANA 42;PATOU CHINA AT2302;ALTO VERÃO 2027;DANCE;;3
01484;VESTIDO FLORAL MUSGO;SEMANA;;INVERNO 2019;;;1
01959;BLUSA ML GOLA SAN;SEMANA;;OFF;;;6
04559;VESTIDO LONGO CELESTE;SEMANA 17;MARROCAINE ESTAMPA CELESTE;INVERNO 2024;CELESTE;FC - INV24 SEM16 - 15/04;1
00259;REGATA BASICA CORACAO;SEMANA;;OUTONO/INVERNO 2016;;;1
02681;REGATA LOVELY;SEMANA 45;;OFF;LOVELY;;1
03622;VESTIDO CURTO NY;SEMANA;ELASTICO 9MM (10);VERÃO 2023;;;5
05689;PANTALONA COTELE BORDADO;CANCELADO;ETIQUETA PERSONALIZADA LIZIE;INVERNO 2025;COTELE BORDADO;;2
00579;REGATA BARRADA;SEMANA;;OUTONO/INVERNO 2017;;;1
06821;BLUSA MANGA CURTA BASIC;SEMANA;MAQUINETADO LISBOA;CONTINUO;WORK;FC - INV26 SEM 19 - 04/05;1
02045;TOP RENDA TEXTURE;SEMANA;;OFF;;;2
02419;CROPPED CASUAL;SEMANA;;OFF;;;4
06002;REGATA ART;CANCELADO;ALGODAO BORDADO ART;ALTO VERÃO 2026;ART;;2
02992;VESTIDO CROP ORLA;SEMANA;;INVERNO 2022;ORLA;;1
04731;REGATA CELEBRAR DECOTE CANOA;SEMANA 23;VISCOLINHO SOBRA ESTOQUE;INVERNO 2024;CELEBRAR;FC - INV24 SEM23 - 03/06;4
05540;MACACAO ARTICO GOLA;CANCELADO;TAG PAPEL C/ ILHOES LIZIE;INVERNO 2025;ARTICO;;3
00607;REGATA AMORA;SEMANA;;OUTONO/INVERNO 2017;;;1
00792;SHORT LINHO FAIXA;SEMANA;;VERÃO 2018;;;1
01135;REGATA CHEVRON NEW;SEMANA;;VERÃO 2019;;;2
02074;BLUSA BABADO MANGA;SEMANA;;OFF;;;7
03899;CAMISA OASIS;SEMANA 20;VISCOSE SARJADA SINERGY;INVERNO 2023;;FC - INV23 SEM23 - 05/06 ;2
04461;TOP IRIS DETALHE BUSTO;CANCELADO;TAG PAPEL C/ ILHOES LIZIE;ALTO VERÃO 2024;IRIS;;1
00445;MACAQUINHO PASSAROS;SEMANA;;VERÃO 2017;;;1
01617;TOP TERRARIO PB;SEMANA;;OFF;TERRARIO PB;;1
02013;CROPPED CLEAN;SEMANA;;OFF;;;6
02511;MACACAO MD WAY;SEMANA;;OFF;;;2
02897;SHORT GODE CITRON;SEMANA;;OFF;;;1
03641;MACAQUINHO SAIA RUBI;SEMANA;;ALTO VERÃO 2023;;;1
00261;VESTIDO LISTRAS;SEMANA;;OUTONO/INVERNO 2016;;;1
00339;CROPPED ANJO FLORAL;SEMANA;;PRIMAVERA/VERÃO 2016;;;1
04013;BLUSA CANOA EST BLANCHE;SEMANA 32;ESTAMPA BLANCHE BASE LAS VEGAS;VERÃO 2024;BLANCHE;FC - VER24 SEM32 - 07/08;4
06029;TOP PREGAS SELARON;SEMANA 49;BORDADO DOURADO FAM 43 AEW100363-14;ALTO VERÃO 2026;SELARON;FC - AV26 SEM 47 - 17/11;1
06714;PANTALONA LINHO LUST;SEMANA 32;LINHO 100%;VERÃO 2027;LUST;FC - VER27 SEM 32 - 03/08;3
00311;BLUSA CANELADA ML;SEMANA;;OUTONO/INVERNO 2016;;;7
01325;CROPPED LINHO BALTICO;SEMANA;;OFF;;;3
03545;CROPPED DUO;SEMANA 09;MONTE CARLO TWO WAY SPAN;VERÃO 2023;;FC - INV23 SEM09 - 06/03;3
02399;CALCA FLARE FLOW;SEMANA;;INVERNO 2021;;;1
04266;VESTIDO ROUGE MANGA BUFANTE;SEMANA 48;ESTAMPA ROUGE BASE GLOW;ALTO VERÃO 2024;ROUGE;FC - VER24 SEM48 - 27/11 ;1
04832;BLAZER LIVING DETALHES LAPELA;SEMANA 42;PATOU CHINA AT2302;INVERNO 2025;LIVING;FC - VER25 SEM 42 - 14/10;16
05416;VESTIDO CROPPED POLEN;SEMANA 07;PARISE ESTAMPA POLEN;INVERNO 2025;POLEN;FC - INV25 SEM 07 - 10/02;1
05742;CALCA MOUNTAIN MIX BOLSOS;SEMANA 31;PATOU CHINA AT2302;VERÃO 2026;MOUNTAIN;FC - INV25 SEM 21 - 19/05;4
01027;PANTALONA VIVO MOSCOU;SEMANA;;INVERNO 2018;;;1
03376;BLUSA HARMONIA;SEMANA;;VERÃO 2023;;;18
04907;VESTIDO CURTO MINIMAL;SEMANA 30;BORDEAUX CREPE AIR FLOW;VERÃO 2025;MINIMAL;FC - VER25 SEM 31 - 29/07;14
00273;BLUSA MOLETINHO MESCLA;SEMANA;;OUTONO/INVERNO 2016;;;1
01157;REGATA COOL;SEMANA;;OFF;;;8
03812;PANTALONA MIND;SEMANA 18;ALFAIATARIA MARANT;INVERNO 2023;;FC - INV23 SEM20 - 15/05;4
04820;CROPPED COLORIR MANGA BUFANTE;SEMANA 28;CAMEL ESTAMPA COLORIR;VERÃO 2025;COLORIR;FC - VER25 SEM 31 - 29/07;1
03563;BLAZER FESTA;SEMANA 52;ATACAMA POLY SPAN;VERÃO 2023;;FC - VER23 SEM52 - 26/12;2
04189;VESTIDO LONGO ARCOS COM ABERTURA;SEMANA 44;MARROCAINE EST ARCOS CHINA (PW80136-6);ALTO VERÃO 2024;ARCOS;FC - VER24 SEM44 - 30/10;1
01115;CALCA BOY ELASTICO;SEMANA;;VERÃO 2019;;;1
03889;PANTALONA STYLE;SEMANA 25;TECIDO VERMONT CHINA RW55406-1;INVERNO 2023;;;6
04140;MACACAO LONGO MONTE;SEMANA;;OUTONO/INVERNO 2016;;;0
04367;REGATA ALCINHA RETALHOS;BAZAR;TECIDO DIVERSOS BAZAR;BAZAR 2023;;;1
05401;BLUSA MANGA SAVANA;SEMANA 07;MAQUINETADO LISBOA EST SAVANA;INVERNO 2025;SAVANA;FC - VER25 SEM 49 - 02/12;1
05723;CALCA RETA BLANC;SEMANA 14;TECIDO VERMONT CHINA RW55406-1;INVERNO 2025;BLANC;FC - INV25 SEM 14 - 31/03;2
06585;REGATA POA DIV 2000;BAZAR;;BAZAR 2024;;;1
01988;BLUSA BOLSO LINEN;SEMANA;;OFF;;;4
02065;BLUSA POA CHIFFON;SEMANA;;VERÃO 2021;;;1
02309;VESTIDO ESSENCIA;SEMANA;;OFF;;;5
03408;VESTIDO TROPICAL;SEMANA;ETIQUETA INTERNA (PP);VERÃO 2023;TROPICAL;FC - VER23 SEM42 - 20/10;1
03720;PANTALONA NATURALE;SEMANA 10;INATIVO;INVERNO 2023;;FC - INV23 SEM12 - 20/03;6
06420;VESTIDO INFANTIL COFFEE;SEMANA 16;MARROCAINE EST COFFEE PW80136;INVERNO 2026;COFFEE;FC - INV26 SEM 16 - 13/04;1
02112;CAMISA LINEAR;SEMANA;;OFF;;;1
04261;CROPPED BLANCHE DETALHE BUSTO;SEMANA 41;ESTAMPA BLANCHE BASE LAS VEGAS;VERÃO 2024;BLANCHE;FC - VER24 SEM40 - 02/10;1
05626;VESTIDO MIDI PREGAS;SEMANA 15;TRICOLINE COM ELASTANO P11NM0041;CONTINUO;COTTON;FC - INV26 SEM 15 - 06/04;11
06665;BLUSA PEPLUM BARISTA;SEMANA 21;SARJA COLOR  RW13587;INVERNO 2026;BARISTA;FC - INV26 SEM 21 - 18/05;3
01523;MACACAO SUCRE;SEMANA;;INVERNO 2019;;;1
03115;VESTIDO MD AGRESTE;SEMANA;;INVERNO 2022;;;1
04131;MACACAO LONGO LUXO;SEMANA;;OUTONO/INVERNO 2016;;;0
05907;CALCA ALFAIATARIA SERENO;SEMANA 13;MARANT NATURE SUMMER (BETA);INVERNO 2025;SERENO;;1
02467;MACAQUINHO ELO;SEMANA;;INVERNO 2021;;;1
02607;CROPPED SOFIE;SEMANA;;OFF;;;6
04179;VESTIDO OMBRO A OMBRO CURTO;SEMANA 43;PATOU CHINA AT2302;VERÃO 2024;NOIR;FC - VER24 SEM40 - 02/10;12
05744;SHORT GEADA;CANCELADO;;INVERNO 2025;GEADA;;1
0280103;CALCA MARINE ASTRAL;SEMANA;;VERÃO 2025;;;0
03325;VESTIDO MELODIA;SEMANA;;INVERNO 2022;;;1
03628;VESTIDO CURTO BATIK;SEMANA 50;EST BATIK BROMELIA 987943301 LIA LUREX;VERÃO 2023;;FC - VER23 SEM50 - 12/12;1
03757;BLAZER CROPPED;SEMANA 20;ATACAMA POLY SPAN;INVERNO 2023;;FC - INV23 SEM11 - 13/03;4
04022;BLUSA CASUAL PESPONTADA;SEMANA 37;TARSILA ECOIMA;VERÃO 2024;SOLARIS;FC - VER24 SEM32 - 07/08;9
04839;VESTIDO CURTO RENOVAR;SEMANA 36;MARRANT PEACH (AT2376);VERÃO 2025;RENOVAR;FC - VER25 SEM 31 - 29/07;6
06366;CROPPED CREATIVE ALCA FINA;SEMANA 39;PATOU CHINA AT2302;VERÃO 2026;CREATIVE;;1
00673;VESTIDO LISTRAS BANDEIRA;SEMANA;;OUTONO/INVERNO 2017;;;2
05616;PAREO MIDI DOTS;CANCELADO;MARROCAINE FOIL;VERÃO 2025;DOTS FOIL;;2
00340;MACACAO MIDI NEW;SEMANA;;OFF;;;2
01267;BLUSA CHOCKER NEW;SEMANA;;OFF;;;3
03121;MACACAO LG MORENA;SEMANA;;VERÃO 2023;;;8
03967;BLUSA SPACE;SEMANA 32;RAYON PIQUET;VERÃO 2025;SPACE;FC - VER25 SEM 37- 09/09;16
05443;COLETE LINHO CURTO ORVALHO;SEMANA 11;LINHO CHINA (AT2314);INVERNO 2025;ORVALHO;FC - INV25 SEM 11 - 10/03;3
06108;BLUSA FLORENCA;SEMANA 19;TWEED LUREX FLORENCA;INVERNO 2025;FLORENCA;;1
06104;PANTALONA MAR;SEMANA 48;LINHO CHINA (AT2314);INTERMEDIÁRIA;MAR;FC - AV26 SEM 45 - 03/11;4
00386;CALCA FLARE NEW;SEMANA;;VERÃO 2017;;;1
00549;CIGANINHA AQUARELA;SEMANA;;OUTONO/INVERNO 2017;;;1
03145;MACACAO HARMONIA;SEMANA;;INVERNO 2022;;;1
03847;SAIA CURTA DIV 5000;BAZAR;;BAZAR 2023;;;1
03960;PANTALONA ORIGEM;SEMANA 21;LINHO ALGARVE;INVERNO 2023;;FC - INV23 SEM15 - 10/04;4
04501;PARKA PEACH BOLSOS;SEMANA 11;MARRANT PEACH (AT2376);VERÃO 2025;PEACH;FC - INV24 SEM25 - 12/06;9
00762;BLUSA YELLOW;SEMANA;;VERÃO 2018;;;1
02639;CROPPED LIVE;SEMANA;;VERÃO 2022;;;1
03751;CAMISA HONNEY;SEMANA 17;EST HONNEY BASE NATHALY;INVERNO 2023;HONNEY;FC - INV23 SEM17 - 24/04;1
06018;COLETE AMARRACAO ICONE;SEMANA 42;ALFAIATARIA MARRANT NEW (AT2286);INTERMEDIÁRIA;ICONE;FC - VER26 SEM 41 - 06/10;4
00469;CROPPED TRANSPASSADO COQUEIRAL;SEMANA;;VERÃO 2017;;;1
00523;VESTIDO GOLA PONTILHISMO;SEMANA;;OUTONO/INVERNO 2017;;;1
02819;KIMONO JETAIME;SEMANA;;VERÃO 2022;;;1
05452;VESTIDO MIDI CHOICE;CANCELADO;TAG PAPEL C/ ILHOES LIZIE;VERÃO 2025;CHOICE;;1
00594;VESTIDO CURTO FLORAL MINI;SEMANA;;OFF;;;1
00814;MACACAO BANDEIRA POSITIVO;SEMANA;;VERÃO 2018;;;1
00866;BLUSA FRESH OFF;SEMANA;;VERÃO 2018;;;1
01133;CROPPED SOLAR;SEMANA;;VERÃO 2019;;;1
01275;PANTALONA TERRARIO;SEMANA;;VERÃO 2019;;;1
